prefecture	H27	H26	H25	H24	H23
千代田区	1200	1018	913	848	765
中央区	3630	3202	2812	2551	2313
港区	5615	4844	4311	3950	3406
新宿区	5253	4976	4703	4350	4123
文京区	3679	3348	3120	2907	2726
台東区	2781	2582	2467	2173	2105
墨田区	5342	5015	4835	4662	4468
江東区	11491	10609	9724	9286	8840
品川区	8007	7483	6940	6486	5915
目黒区	4225	3908	3644	3431	3259
大田区	12096	11399	10916	10385	9973
世田谷区	14051	13092	12474	11540	10822
渋谷区	3689	3473	3131	2729	2503
中野区	4811	4398	4096	3903	3765
杉並区	8605	7675	7119	6767	6469
豊島区	4377	3990	3667	3496	3346
北区	6393	6039	5601	5189	4959
荒川区	4767	4563	4340	4095	3831
板橋区	10635	10110	9703	9363	9040
練馬区	12598	11814	11129	10433	9790
足立区	11941	11828	11429	10917	10332
葛飾区	9447	9054	8716	8465	8115
江戸川区	11260	11260	11062	10843	10594
八王子市	11209	10995	10716	10333	10056
立川市	3634	3673	3577	3467	3289
武蔵野市	2399	2120	1919	1936	1789
三鷹市	3294	3095	2936	2788	2543
青梅市	3206	3219	3286	3238	3253
府中市	5167	5021	4831	4639	4362
昭島市	2587	2585	2544	2549	2517
調布市	4352	4154	3954	3675	3545
町田市	6996	6815	6570	6146	5794
小金井市	1923	1793	1697	1660	1594
小平市	3345	3063	2847	2680	2526
日野市	3752	3583	3497	3460	3275
東村山市	2533	2548	2408	2268	2184
国分寺市	2223	2141	1961	1823	1669
国立市	1331	1283	1278	1230	1193
福生市	1373	1344	1335	1317	1281
狛江市	1343	1225	1120	1034	989
東大和市	2082	2023	1945	1875	1838
清瀬市	1281	1321	1234	1226	1204
東久留米市	2082	2022	1961	1872	1785
武蔵村山市	1935	1972	1985	2014	1972
多摩市	2955	2796	2690	2672	2585
稲城市	1991	1884	1848	1822	1777
羽村市	1376	1382	1358	1359	1277
あきる野市	1822	1823	1825	1804	1792
西東京市	3316	3231	3098	2893	2794
瑞穂町	739	708	680	724	736
日の出町	550	558	546	508	482
檜原村	44	47	48	41	42
奥多摩町	84	85	72	88	103
大島町	263	255	242	246	255
利島村	13	17	16	21	25
新島村	68	54	53	61	69
神津島村	59	51	58	56	57
三宅村	55	53	58	59	48
御蔵島村	13	10	9	0	0
八丈町	156	210	222	239	227
青ヶ島村	4	3	3	0	0
小笠原村	65	69	55	49	36
