ID	prefectureJa	prefectureEn	2005	2010	2014
01	北海道	Hokkaido	530	936	473
02	青森県	Aomori-ken	127	5	0
03	岩手県	Iwate-ken	216	53	193
04	宮城県	Miyagi-ken	799	948	978
05	秋田県	Akita-ken	197	204	53
06	山形県	Yamagata-ken	256	204	0
07	福島県	Fukushima-ken	240	122	180
08	茨城県	Ibaraki-ken	326	216	227
09	栃木県	Tochigi-ken	75	76	66
10	群馬県	Gumma-ken	86	58	0
11	埼玉県	Saitama-ken	1790	1310	905
12	千葉県	Chiba-ken	1259	1373	1251
13	東京都	Tokyo-to	5221	8435	8672
14	神奈川県	Kanagawa-ken	2233	4117	1079
15	新潟県	Niigata-ken	21	0	17
16	富山県	Toyama-ken	2	0	0
17	石川県	Ishikawa-ken	0	0	0
18	福井県	Fukui-ken	0	0	0
19	山梨県	Yamanashi-ken	0	0	0
20	長野県	Nagano-ken	0	0	0
21	岐阜県	Gifu-ken	51	16	27
22	静岡県	Shizuoka-ken	426	486	567
23	愛知県	Aichi-ken	570	744	107
24	三重県	Mie-ken	22	36	48
25	滋賀県	Shiga-ken	242	350	441
26	京都府	Kyoto-fu	324	380	11
27	大阪府	Osaka-fu	2917	1396	1124
28	兵庫県	Hyogo-ken	1056	997	552
29	奈良県	Nara-ken	412	198	191
30	和歌山県	Wakayama-ken	14	19	10
31	鳥取県	Tottori-ken	28	0	0
32	島根県	Shimane-ken	114	41	3
33	岡山県	Okayama-ken	59	73	51
34	広島県	Hiroshima-ken	207	245	447
35	山口県	Yamaguchi-ken	53	31	57
36	徳島県	Tokushima-ken	36	35	41
37	香川県	Kagawa-ken	25	0	0
38	愛媛県	Ehime-ken	36	37	0
39	高知県	Kochi-ken	139	24	28
40	福岡県	Fukuoka-ken	688	852	315
41	佐賀県	Saga-ken	36	0	50
42	長崎県	Nagasaki-ken	138	38	95
43	熊本県	Kumamoto-ken	164	141	678
44	大分県	Oita-ken	35	12	42
45	宮崎県	Miyazaki-ken	0	0	0
46	鹿児島県	Kagoshima-ken	284	387	232
47	沖縄県	Okinawa-ken	1884	1680	2160
