prefecture	H27	H26	H25	H24	H23
千代田区	39.7%	38.2%	37.4%	37.0%	35.0%
中央区	43.0%	41.2%	38.4%	36.6%	35.3%
港区	40.7%	37.1%	34.5%	33.0%	29.4%
新宿区	44.2%	43.1%	42.0%	40.0%	38.6%
文京区	35.6%	33.4%	33.0%	31.5%	31.0%
台東区	38.0%	36.4%	35.5%	32.1%	31.5%
墨田区	47.0%	45.1%	43.6%	42.6%	41.0%
江東区	43.5%	41.2%	38.8%	37.3%	36.1%
品川区	43.6%	41.9%	39.9%	38.4%	36.2%
目黒区	33.6%	32.4%	31.3%	30.6%	29.7%
大田区	37.6%	35.7%	34.6%	33.0%	31.9%
世田谷区	32.4%	30.8%	30.0%	28.4%	27.3%
渋谷区	38.3%	37.6%	35.3%	32.5%	31.1%
中野区	39.4%	37.2%	35.9%	35.2%	34.5%
杉並区	36.6%	33.4%	31.7%	30.8%	30.1%
豊島区	42.7%	40.1%	38.1%	37.2%	37.2%
北区	44.8%	43.9%	41.9%	39.9%	38.3%
荒川区	48.7%	47.0%	45.1%	42.9%	41.7%
板橋区	43.0%	41.1%	39.9%	38.9%	37.9%
練馬区	36.2%	33.9%	32.0%	30.0%	28.4%
足立区	37.4%	36.7%	35.2%	33.6%	32.1%
葛飾区	44.9%	43.0%	41.1%	39.7%	38.0%
江戸川区	31.9%	31.4%	30.5%	29.3%	28.2%
八王子市	44.0%	41.9%	39.7%	37.8%	36.7%
立川市	42.0%	41.9%	40.5%	39.0%	37.3%
武蔵野市	34.6%	31.6%	30.1%	31.5%	30.1%
三鷹市	35.6%	34.5%	33.5%	32.1%	29.4%
青梅市	56.0%	54.7%	53.5%	51.0%	50.4%
府中市	37.5%	36.2%	35.0%	33.2%	31.7%
昭島市	46.4%	45.9%	44.8%	44.6%	44.5%
調布市	37.4%	35.6%	33.6%	31.9%	31.0%
町田市	34.5%	32.7%	30.9%	28.4%	26.4%
小金井市	33.4%	31.3%	30.8%	30.8%	30.2%
小平市	34.2%	31.4%	29.8%	28.7%	27.4%
日野市	40.4%	39.0%	38.1%	37.8%	35.6%
東村山市	35.4%	33.9%	31.0%	28.9%	28.0%
国分寺市	39.5%	37.8%	35.5%	33.7%	30.7%
国立市	39.8%	38.8%	38.6%	36.8%	35.6%
福生市	56.7%	53.6%	52.4%	50.1%	47.1%
狛江市	35.7%	34.6%	32.9%	31.0%	29.2%
東大和市	46.0%	44.3%	42.3%	40.6%	39.7%
清瀬市	37.2%	38.2%	36.1%	35.1%	34.4%
東久留米市	37.6%	36.8%	36.1%	34.5%	32.6%
武蔵村山市	52.1%	50.3%	48.4%	47.7%	45.5%
多摩市	42.8%	39.7%	39.4%	37.9%	36.1%
稲城市	40.1%	37.1%	35.8%	34.8%	34.1%
羽村市	49.0%	48.0%	46.4%	45.8%	42.3%
あきる野市	45.8%	44.9%	43.8%	41.6%	41.6%
西東京市	34.1%	32.9%	30.9%	28.9%	28.4%
瑞穂町	52.2%	49.0%	47.5%	48.7%	47.4%
日の出町	55.8%	55.1%	55.0%	55.7%	55.3%
檜原村	69.8%	72.3%	69.6%	71.9%	68.9%
奥多摩町	80.8%	78.0%	65.5%	72.7%	82.4%
大島町	73.7%	69.5%	66.5%	65.8%	66.1%
利島村	54.2%	73.9%	69.6%	77.8%	86.2%
新島村	55.3%	47.8%	46.9%	53.0%	55.2%
神津島村	56.2%	44.0%	56.9%	58.9%	57.0%
三宅村	52.9%	49.1%	50.9%	57.8%	48.5%
御蔵島村	40.6%	32.3%	29.0%	0.0%	0.0%
八丈町	46.2%	63.8%	61.2%	61.4%	60.1%
青ヶ島村	66.7%	75.0%	50.0%	0.0%	0.0%
小笠原村	30.5%	32.7%	24.6%	21.6%	16.6%
