prefecture	H27	H26	H25	H24	H23
千代田区	3025	2663	2442	2293	2184
中央区	8445	7770	7320	6962	6561
港区	13789	13042	12497	11985	11584
新宿区	11874	11545	11201	10863	10687
文京区	10326	10035	9466	9239	8800
台東区	7327	7091	6959	6770	6680
墨田区	11366	11111	11100	10937	10900
江東区	26404	25763	25045	24867	24480
品川区	18359	17879	17383	16881	16328
目黒区	12581	12051	11649	11222	10958
大田区	32202	31909	31550	31500	31283
世田谷区	43365	42445	41554	40599	39670
渋谷区	9623	9235	8863	8387	8056
中野区	12224	11816	11424	11082	10900
杉並区	23504	22953	22472	21986	21506
豊島区	10253	9944	9617	9398	9006
北区	14272	13748	13361	12992	12939
荒川区	9789	9708	9633	9539	9181
板橋区	24714	24615	24297	24083	23824
練馬区	34765	34867	34798	34756	34469
足立区	31958	32267	32434	32449	32226
葛飾区	21060	21070	21205	21318	21337
江戸川区	35262	35809	36241	37041	37625
八王子市	25495	26218	26963	27347	27414
立川市	8658	8760	8824	8888	8825
武蔵野市	6931	6719	6368	6146	5953
三鷹市	9245	8959	8771	8693	8653
青梅市	5724	5882	6146	6351	6457
府中市	13796	13859	13821	13963	13740
昭島市	5581	5634	5678	5716	5662
調布市	11635	11678	11780	11513	11430
町田市	20295	20840	21282	21669	21983
小金井市	5754	5721	5504	5383	5275
小平市	9791	9748	9560	9352	9205
日野市	9277	9198	9181	9162	9209
東村山市	7154	7519	7763	7859	7791
国分寺市	5624	5664	5530	5404	5430
国立市	3343	3307	3312	3345	3348
福生市	2420	2506	2549	2631	2720
狛江市	3759	3545	3407	3332	3390
東大和市	4531	4566	4596	4619	4633
清瀬市	3445	3457	3423	3497	3505
東久留米市	5532	5498	5427	5433	5471
武蔵村山市	3716	3921	4101	4225	4333
多摩市	6897	7036	6825	7058	7169
稲城市	4962	5073	5162	5235	5205
羽村市	2806	2880	2928	2967	3016
あきる野市	3976	4064	4166	4336	4305
西東京市	9713	9827	10036	10010	9834
瑞穂町	1417	1444	1432	1488	1554
日の出町	986	1012	992	912	872
檜原村	63	65	69	57	61
奥多摩町	104	109	110	121	125
大島町	357	367	364	374	386
利島村	24	23	23	27	29
新島村	123	113	113	115	125
神津島村	105	116	102	95	100
三宅村	104	108	114	102	99
御蔵島村	32	31	31	30	32
八丈町	338	329	363	389	378
青ヶ島村	6	4	6	8	10
小笠原村	213	211	224	227	217
